"PUPIL","ACT","OBSERVED","ORDERED","EXPECTATION","VARIANCE","ZSCORE","RESIDUAL","PERSON MEASURE","ITEM MEASURE","MEASURE DIFFERENCE","LOG(PROBABILITY)","PREDICTED PERSON MEASURE","PREDICTED ITEM MEASURE","MORE PROBABLE RESPONSE","CODE","PERSON LABEL","ITEM LABEL"
1,1,1,1,1.397,.293,-.734,-.397,.493,-.892,1.384,-.599,-.892,.493,1,"01","ROSSNER, MARC DANIEL","WATCH BIRDS"
1,2,2,2,1.572,.386,.689,.428,.493,-.611,1.103,-.442,1.065,-1.183,2,"02","ROSSNER, MARC DANIEL","READ BOOKS ON ANIMALS"
1,3,1,1,1.084,.392,-.134,-.084,.493,.279,.214,-.509,.279,.493,1,"01","ROSSNER, MARC DANIEL","READ BOOKS ON PLANTS"
1,4,1,1,.552,.318,.794,.448,.493,1.802,-1.309,-.730,1.802,.493,0,"01","ROSSNER, MARC DANIEL","WATCH GRASS CHANGE"
1,5,1,1,.283,.253,1.427,.717,.493,2.189,-1.696,-1.459,2.189,.493,0,"01","ROSSNER, MARC DANIEL","FIND BOTTLES AND CANS"
1,6,0,0,1.132,.397,-1.796,-1.132,.493,.164,.329,-1.957,-2.106,2.762,1,"00","ROSSNER, MARC DANIEL","LOOK UP STRANGE ANIMAL OR PLANT"
1,7,2,2,.771,.442,1.848,1.229,.493,.994,-.501,-2.019,3.050,-1.564,1,"02","ROSSNER, MARC DANIEL","WATCH ANIMAL MOVE"
1,8,0,0,.564,.344,-.962,-.564,.493,1.641,-1.148,-.723,-.641,2.775,0,"00","ROSSNER, MARC DANIEL","LOOK IN SIDEWALK CRACKS"
1,9,1,1,.945,.517,.077,.055,.493,.600,-.107,-.733,.600,.493,1,"01","ROSSNER, MARC DANIEL","LEARN WEED NAMES"
1,10,2,2,1.754,.210,.536,.246,.493,-1.570,2.063,-.266,.473,-1.550,2,"02","ROSSNER, MARC DANIEL","LISTEN TO BIRD SING"
1,11,2,2,1.600,.270,.771,.400,.493,-1.372,1.865,-.487,1.135,-2.014,2,"02","ROSSNER, MARC DANIEL","FIND WHERE ANIMAL LIVES"
1,12,2,2,1.836,.137,.442,.164,.493,-1.139,1.632,-.179,-.041,-.606,2,"02","ROSSNER, MARC DANIEL","GO TO MUSEUM"
1,13,2,2,1.766,.281,.441,.234,.493,-.896,1.389,-.202,.437,-.840,2,"02","ROSSNER, MARC DANIEL","GROW GARDEN"
1,14,0,0,1.084,.420,-1.672,-1.084,.493,.294,.199,-1.762,-1.901,2.688,1,"00","ROSSNER, MARC DANIEL","LOOK AT PICTURES OF PLANTS"
1,15,2,2,1.467,.379,.866,.533,.493,-.559,1.052,-.631,1.448,-1.514,2,"02","ROSSNER, MARC DANIEL","READ ANIMAL STORIES"
1,16,1,1,1.009,.358,-.015,-.009,.493,.468,.024,-.444,.468,.493,1,"01","ROSSNER, MARC DANIEL","MAKE A MAP"
1,17,1,1,1.200,.436,-.303,-.200,.493,.045,.447,-.646,.045,.493,1,"01","ROSSNER, MARC DANIEL","WATCH WHAT ANIMALS EAT"
1,18,2,2,1.959,.048,.190,.041,.493,-2.256,2.749,-.038,-.979,-.785,2,"02","ROSSNER, MARC DANIEL","GO ON PICNIC"
1,19,2,2,1.907,.093,.304,.093,.493,-2.161,2.653,-.092,-.502,-1.166,2,"02","ROSSNER, MARC DANIEL","GO TO ZOO"
1,20,0,0,.488,.341,-.836,-.488,.493,1.747,-1.254,-.584,-.373,2.612,0,"00","ROSSNER, MARC DANIEL","WATCH BUGS"
1,21,2,2,1.608,.337,.675,.392,.493,-.804,1.297,-.420,.997,-1.308,2,"02","ROSSNER, MARC DANIEL","WATCH BIRD MAKE NEST"
